Time	EMG	Muscle Force
0.393	0.041163	0.248377
0.394	-0.0301119	0.249117
0.395	-0.0524954	0.248747
0.396	-0.0304578	0.248747
0.397	0.00173149	0.248747
0.398	0.0650707	0.248747
0.399	0.0660683	0.248377
0.4	-0.0225322	0.248747
0.401	-0.0727259	0.248377
0.402	0.00671447	0.248747
0.403	0.0104478	0.248377
0.404	-0.0365563	0.249117
0.405	-0.0807412	0.248747
0.406	-0.0301774	0.248747
0.407	0.097511	0.248377
0.408	0.123666	0.248747
0.409	0.039704	0.248747
0.41	0.00962949	0.248007
0.411	0.00191766	0.248377
0.412	-0.05121	0.249117
0.413	-0.144875	0.248747
0.414	-0.168281	0.248377
0.415	-0.0258843	0.248377
0.416	0.197351	0.248007
0.417	0.19269	0.248747
0.418	-0.0041837	0.248377
0.419	-0.135067	0.248377
0.42	0.0109586	0.249117
0.421	0.082458	0.248007
0.422	0.0460825	0.248377
0.423	-0.0880672	0.248747
0.424	-0.212953	0.248377
0.425	-0.0364176	0.248747
0.426	0.122305	0.248747
0.427	0.118981	0.248377
0.428	0.0178875	0.248377
0.429	-0.0291799	0.248377
0.43	-0.0048853	0.248377
0.431	0.00162661	0.248377
0.432	0.0181618	0.248747
0.433	-0.004546	0.248377
0.434	-0.0368075	0.248747
0.435	-0.106635	0.248747
0.436	-0.0405173	0.248377
0.437	0.00126541	0.248377
0.438	0.199658	0.248377
0.439	0.196887	0.248377
0.44	-0.068855	0.248747
0.441	-0.215124	0.248377
0.442	-0.220933	0.248377
0.443	0.0452244	0.248377
0.444	0.190751	0.248747
0.445	0.0443667	0.248377
0.446	-0.0506953	0.248377
0.447	0.111781	0.248747
0.448	0.076508	0.248747
0.449	-0.138059	0.248377
0.45	-0.112142	0.248747
0.451	0.0547271	0.248377
0.452	0.00470631	0.248747
0.453	-0.132375	0.248747
0.454	0.00705667	0.248007
0.455	0.139371	0.248747
0.456	0.129155	0.248377
0.457	0.0330263	0.248377
0.458	-0.0845894	0.248747
0.459	-0.17671	0.248377
0.46	0.000119812	0.248377
0.461	0.122892	0.248377
0.462	0.0472949	0.248377
0.463	-0.0760165	0.248747
0.464	-0.0429297	0.248747
0.465	0.0601748	0.249117
0.466	0.0446378	0.248377
0.467	-0.0247057	0.249117
0.468	-0.072101	0.248377
0.469	-0.0406939	0.248747
0.47	0.00529306	0.248377
0.471	0.0224363	0.248377
0.472	0.160411	0.248747
0.473	0.133577	0.248747
0.474	-0.0337504	0.248377
0.475	-0.197817	0.248377
0.476	-0.244472	0.248377
0.477	-0.0398841	0.248747
0.478	0.120167	0.248747
0.479	0.205717	0.248747
0.48	0.133468	0.248747
0.481	0.015344	0.248747
0.482	-0.0524797	0.248747
0.483	-0.143184	0.248747
0.484	-0.111123	0.249117
0.485	-0.0142733	0.248747
0.486	0.05997	0.248747
0.487	0.0390823	0.248747
0.488	0.0459518	0.248747
0.489	0.0240133	0.248747
0.49	0.00792557	0.248377
0.491	0.022635	0.248747
0.492	-0.0533903	0.248747
0.493	-0.0694878	0.248377
0.494	-0.0370909	0.248747
0.495	0.0485685	0.248007
0.496	0.108709	0.248377
0.497	0.0201327	0.248747
0.498	-0.0926083	0.248747
0.499	-0.0530798	0.249117
0.5	-0.00713219	0.248747
0.501	0.0481885	0.248377
0.502	0.0754478	0.248007
0.503	0.0149103	0.248747
0.504	-0.0613174	0.248377
0.505	-0.0794812	0.248377
0.506	-0.0394306	0.248377
0.507	0.0551393	0.248377
0.508	0.134182	0.249117
0.509	0.0429926	0.248007
0.51	-0.0705536	0.249117
0.511	-0.051527	0.249117
0.512	-0.0545268	0.249117
0.513	-0.0805811	0.248747
0.514	0.017258	0.248377
0.515	0.088524	0.248747
0.516	0.0461126	0.248747
0.517	0.035118	0.248747
0.518	0.0762637	0.248747
0.519	-0.0171085	0.248377
0.52	-0.130358	0.248747
0.521	-0.057622	0.248747
0.522	0.0131639	0.248747
0.523	-0.0173451	0.248747
0.524	-0.0102884	0.248747
0.525	0.0482716	0.248377
0.526	0.0945449	0.249117
0.527	0.0610913	0.248377
0.528	-0.083964	0.248007
0.529	-0.173476	0.249117
0.53	0.0136183	0.248747
0.531	0.229173	0.249117
0.532	0.167598	0.248377
0.533	-0.0832408	0.248377
0.534	-0.329721	0.248747
0.535	-0.224785	0.248747
0.536	0.168161	0.248007
0.537	0.22731	0.248377
0.538	0.111887	0.248377
0.539	-0.0310741	0.248747
0.54	-0.0405617	0.248747
0.541	0.00509769	0.248747
0.542	-0.0717668	0.248747
0.543	-0.0313619	0.248377
0.544	-0.0183786	0.248747
0.545	-0.0669241	0.248747
0.546	-0.000516684	0.248747
0.547	0.120229	0.248747
0.548	0.0605287	0.248377
0.549	0.0140039	0.248747
0.55	0.0106299	0.248747
0.551	-0.0515591	0.249117
0.552	-0.0841989	0.248747
0.553	-0.0615168	0.248747
0.554	-0.0351303	0.248377
0.555	0.0978688	0.248747
0.556	0.120158	0.248747
0.557	0.0451047	0.249117
0.558	-0.0335928	0.249117
0.559	-0.0995193	0.248747
0.56	-0.0636277	0.248377
0.561	0.0442428	0.248747
0.562	0.0614828	0.248747
0.563	-0.0538623	0.249117
0.564	-0.0751841	0.249117
0.565	0.0703473	0.248747
0.566	0.0750975	0.248377
0.567	-0.00954229	0.248377
0.568	0.00821721	0.248007
0.569	-0.00958616	0.248747
0.57	-0.0137441	0.248747
0.571	-0.0338074	0.248747
0.572	-0.0728568	0.248747
0.573	0.0405572	0.248377
0.574	0.0206097	0.248747
0.575	0.0138331	0.248377
0.576	0.0361097	0.248747
0.577	0.00900194	0.248377
0.578	0.055889	0.249117
0.579	-0.00525855	0.248377
0.58	-0.153472	0.248747
0.581	-0.104636	0.248377
0.582	0.00714908	0.248747
0.583	0.0984082	0.248747
0.584	0.153589	0.248377
0.585	0.13273	0.248377
0.586	0.0382078	0.248377
0.587	-0.120612	0.248747
0.588	-0.369908	0.248747
0.589	-0.174541	0.248377
0.59	0.189228	0.248377
0.591	0.243426	0.248377
0.592	0.207008	0.248377
0.593	-0.00951385	0.248377
0.594	-0.18382	0.248747
0.595	-0.08659	0.248377
0.596	0.02476	0.249117
0.597	0.0060461	0.249117
0.598	-0.0647167	0.248377
0.599	-0.0206083	0.248747
0.6	0.0580089	0.248377
0.601	0.125309	0.248377
0.602	0.0383819	0.248747
0.603	-0.155849	0.249117
0.604	-0.0924068	0.248747
0.605	0.10719	0.248747
0.606	0.147297	0.248377
0.607	0.0254623	0.248007
0.608	-0.0891675	0.248747
0.609	-0.174992	0.248747
0.61	-0.0965258	0.248377
0.611	0.0583674	0.248747
0.612	0.188654	0.248747
0.613	0.137077	0.248377
0.614	-0.0232528	0.248747
0.615	-0.147685	0.248747
0.616	-0.0964365	0.248377
0.617	0.055333	0.248747
0.618	0.0579513	0.248377
0.619	0.00436031	0.248747
0.62	-0.0725412	0.248747
0.621	-0.0900354	0.248747
0.622	0.0397967	0.248377
0.623	0.170564	0.248007
0.624	0.138321	0.248747
0.625	-0.0382692	0.248747
0.626	-0.188345	0.248747
0.627	-0.127579	0.248747
0.628	-0.0381541	0.248377
0.629	0.0235827	0.248747
0.63	0.166195	0.248747
0.631	0.15177	0.248747
0.632	0.033442	0.247636
0.633	-0.107657	0.248747
0.634	-0.139835	0.248377
0.635	-0.0630084	0.248377
0.636	-0.00117859	0.248377
0.637	0.094308	0.249117
0.638	0.0781662	0.248377
0.639	-0.0433114	0.248747
0.64	-0.00565041	0.249117
0.641	0.099322	0.248747
0.642	-0.058438	0.248747
0.643	-0.102559	0.248747
0.644	-0.0480474	0.249117
0.645	0.0589858	0.249117
0.646	0.0834651	0.249117
0.647	0.0689512	0.248747
0.648	-0.0135223	0.248747
0.649	-0.104122	0.248747
0.65	-0.101863	0.249117
0.651	0.0100408	0.248747
0.652	0.0536779	0.249117
0.653	0.0799184	0.248747
0.654	0.0339879	0.248747
